lag,autocorrelation
331,0.0360788155999575
332,0.0317352061940826
333,0.027844345759490012
334,0.024329002167740255
335,0.021366980948734477
336,0.019100765308666633
337,0.0176319341034538
338,0.017052225660337816
339,0.017410534111889277
340,0.018708776570279622
341,0.02091578998284681
342,0.02395846521779792
343,0.027713172109021713
344,0.03203317993619257
345,0.036740991177717
346,0.04167341377612015
347,0.04662452721092043
348,0.051394940140257674
349,0.05577462247832336
350,0.05959247088843463
351,0.0626819087783811
352,0.06492206145922429
353,0.0662117152834315
354,0.0665019337420443
355,0.06576474985291383
356,0.06402532807196021
357,0.061334972054427714
358,0.05778689284516815
359,0.053491242380602676
360,0.04859897513850818
361,0.04326510296117713
362,0.037651269246066765
363,0.031940074445113924
364,0.02632003873200778
365,0.020970243968041
366,0.01606709899446342
367,0.011757969720623384
368,0.008166743637517888
369,0.005389579111242391
370,0.0034940550795547645
371,0.0025095917800858967
372,0.0024331365071585923
373,0.003216232979570506
374,0.004798220231371509
375,0.007094607796979648
376,0.010026075441838311
377,0.013501301200758759
378,0.01743409865852696
379,0.021712104503303315
380,0.02621700066978954
381,0.030826753043360067
382,0.03542296122969204
383,0.03987333343378624
384,0.044027367501408295
385,0.047751874964872355
386,0.05094039123245076
387,0.05349831843730569
388,0.05536193963560257
389,0.056498498708629094
390,0.056887541531126885
391,0.056529847902952145
392,0.055441910996710524
393,0.05367080294217393
394,0.05127865512962547
395,0.04833400816998479
396,0.04492530263037902
397,0.04115777729204103
398,0.03715347188001004
399,0.033043177664560726
400,0.028975974316065623
401,0.02509650738378906
402,0.021551340543546377
403,0.01847351345644653
404,0.015976759517955973
405,0.01414792849254156
406,0.013049026025874684
407,0.01271901506592916
408,0.013179762390924943
409,0.014407192993991229
410,0.016366937444621355
411,0.01900633139910286
412,0.02226024211411816
413,0.02599327496229738
414,0.030091825193172113
415,0.03440637493565887
416,0.03879218747568937
417,0.04307263966891246
418,0.04709308634894933
419,0.05069701412772211
420,0.05375246374993271
421,0.05613933010989614
422,0.05778393671995507
423,0.05866230413501129
424,0.05878218959638768
425,0.05815529539650659
426,0.05682644422652897
427,0.05485018361417363
428,0.052321909980174164
429,0.0493355371783366
430,0.04601126852173626
431,0.04245776339784482
432,0.03880839456339018
433,0.03518088531860974
434,0.03170340977203282
435,0.02846715433649425
436,0.025569011433346386
437,0.023071117948969305
438,0.021025931821833887
439,0.019448829489363308
440,0.018337020661456805
441,0.017666849894656302
442,0.017402964008251923
443,0.01749321010192628
444,0.017880681239107903
445,0.01850377351731694
446,0.019301265608002084
447,0.020205576301217512
448,0.02115872174790508
449,0.022101486657282177
450,0.02297814902147057
451,0.023746447058582715
452,0.024382109048179754
453,0.024872356555540848
454,0.025223278943363927
455,0.02546942218061795
456,0.025647454195961702
457,0.02579524144514049
458,0.025935107809892416
459,0.02610686382653514
460,0.026348181795050843
461,0.02668665425053478
462,0.027151864493061104
463,0.027758860984206248
464,0.028530595988771938
465,0.02947270141911626
466,0.03059536767645359
467,0.031889300987797194
468,0.03332488171176868
469,0.034858185835773804
470,0.036442115733347206
471,0.03801938464088714
472,0.0395255437508959
473,0.04089266138148648
474,0.04207281253234093
475,0.04300603427429605
476,0.04365597159845052
477,0.043985660228687426
478,0.04398873415372192
479,0.043658434330702704
480,0.043005488884147
481,0.042047969671095184
482,0.04081937811058917
483,0.03934590087293086
484,0.03768238660987252
485,0.03588945351617881
486,0.03404950324711813
487,0.03222672562665672
488,0.03050729601338049
489,0.028942825765853004
490,0.027606949615446182
491,0.026544112992764986
492,0.02579719767902013
493,0.02537508223929478
494,0.025285049146392992
495,0.025514850665584055
496,0.02605850243005871
497,0.026898729510815546
498,0.028019974564958416
499,0.02938912151149164
500,0.030974114089053005
501,0.032720438678403206
502,0.03458373754723546
503,0.03649890513886169
504,0.03839864348971546
505,0.04019205618147506
506,0.04181826696971405
507,0.043213939999508566
508,0.04434142938366337
509,0.04515478897291185
510,0.0456327022000442
511,0.04576629644775407
